time,duty,rpm
0.021,0.0,0
0.073,0.0,0
0.124,0.0,0
0.176,0.0,0
0.227,0.0,0
0.278,0.0,0
0.33,0.0,0
0.381,0.0,0
0.433,0.0,0
0.484,0.0,0
0.536,-0.009,0
0.587,-0.019,0
0.689,-0.039,-238
0.792,-0.06,-1053
0.843,-0.07,-2611
0.894,-0.079,-3844
0.945,-0.09,-4892
0.997,-0.099,-5882
1.048,-0.099,-6822
1.099,-0.099,-7288
1.15,-0.099,-7502
1.202,-0.099,-7596
1.253,-0.099,-7638
1.304,-0.099,-7659
1.355,-0.099,-7678
1.407,-0.1,-7677
1.458,-0.099,-7679
1.509,-0.1,-7678
1.561,-0.099,-7673
1.612,-0.099,-7677
1.663,-0.099,-7674
1.715,-0.099,-7678
1.766,-0.099,-7682
1.817,-0.099,-7671
1.868,-0.099,-7668
1.92,-0.099,-7664
1.971,-0.099,-7666
2.022,-0.099,-7661
2.074,-0.099,-7657
2.125,-0.099,-7656
2.176,-0.099,-7641
2.227,-0.099,-7647
2.278,-0.099,-7640
2.33,-0.099,-7644
2.381,-0.099,-7651
2.432,-0.099,-7637
2.483,-0.099,-7637
2.535,-0.099,-7644
2.586,-0.099,-7644
2.637,-0.099,-7648
2.688,-0.099,-7657
2.74,-0.099,-7641
2.791,-0.099,-7661
2.843,-0.099,-7669
2.894,-0.099,-7661
2.946,-0.1,-7683
2.998,-0.099,-7681
3.05,-0.099,-7681
3.102,-0.099,-7692
3.153,-0.099,-7687
3.205,-0.099,-7695
3.257,-0.099,-7695
3.309,-0.099,-7689
3.36,-0.099,-7689
3.463,-0.099,-7681
3.515,-0.099,-7681
3.566,-0.099,-7690
3.618,-0.099,-7679
3.67,-0.099,-7681
3.722,-0.099,-7685
3.773,-0.099,-7682
3.825,-0.099,-7685
3.877,-0.099,-7687
3.928,-0.099,-7686
3.98,-0.1,-7681
4.032,-0.1,-7675
4.083,-0.099,-7668
4.135,-0.099,-7667
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.175,0.0,0
0.226,0.0,0
0.277,0.0,0
0.328,0.0,0
0.379,0.0,0
0.43,0.0,0
0.481,0.0,0
0.532,-0.01,0
0.583,-0.02,0
0.633,-0.03,-245
0.684,-0.04,-232
0.735,-0.049,-552
0.786,-0.06,-964
0.837,-0.07,-2546
0.888,-0.079,-3767
0.939,-0.089,-4833
0.99,-0.099,-5800
1.041,-0.109,-6765
1.091,-0.12,-7703
1.142,-0.13,-8620
1.193,-0.14,-9551
1.244,-0.149,-10483
1.295,-0.16,-11420
1.346,-0.169,-12351
1.397,-0.18,-13267
1.448,-0.189,-14212
1.499,-0.199,-15165
1.55,-0.21,-16077
1.601,-0.219,-16915
1.652,-0.23,-17595
1.703,-0.24,-18056
1.754,-0.249,-18330
1.805,-0.26,-18418
1.856,-0.27,-18341
1.906,-0.279,-18108
1.957,-0.29,-17737
2.008,-0.299,-17231
2.059,-0.31,-16590
2.11,-0.32,-15825
2.161,-0.33,-14965
2.212,-0.34,-14044
2.263,-0.35,-13070
2.314,-0.36,-12069
2.365,-0.183,-11032
2.416,-0.062,-8962
2.467,-0.022,-6134
2.518,-0.001,-731
2.569,0.0,13
2.62,0.0,21
2.671,0.0,20
2.721,0.0,0
2.772,0.0,-1
2.823,0.0,0
2.874,0.0,-1
2.925,-0.051,-14
2.976,-0.048,0
3.078,-0.049,-542
3.129,-0.054,-1018
3.18,-0.177,-2698
3.231,-0.05,-4523
3.282,-0.016,-3613
3.333,0.003,89
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.174,0.0,0
0.225,0.0,0
0.276,0.0,0
0.327,0.0,0
0.378,0.0,0
0.429,0.0,0
0.48,0.0,0
0.531,-0.009,0
0.582,-0.02,0
0.633,-0.03,-245
0.684,-0.039,-232
0.735,-0.048,-551
0.786,-0.06,-976
0.837,-0.07,-2578
0.888,-0.08,-3814
0.939,-0.09,-4869
0.99,-0.099,-5851
1.041,-0.109,-6813
1.092,-0.12,-7742
1.143,-0.13,-8676
1.193,-0.14,-9608
1.244,-0.149,-10537
1.295,-0.16,-11477
1.346,-0.17,-12422
1.397,-0.18,-13366
1.448,-0.189,-14297
1.499,-0.199,-15214
1.55,-0.21,-16091
1.6,-0.219,-16866
1.651,-0.229,-17438
1.702,-0.24,-17769
1.753,-0.249,-17865
1.804,-0.26,-17770
1.855,-0.27,-17496
1.907,-0.28,-17107
1.958,-0.29,-16625
2.009,-0.299,-16091
2.06,-0.31,-15539
2.112,-0.319,-14944
2.163,-0.33,-14302
2.214,-0.339,-13605
2.265,-0.35,-12860
2.317,-0.36,-12076
2.368,-0.369,-11259
2.419,-0.096,-10059
2.47,-0.045,-7736
2.522,-0.012,-4337
2.573,0.0,8
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.174,0.0,0
0.225,0.0,0
0.276,0.0,0
0.327,0.0,0
0.379,0.0,0
0.43,0.0,0
0.48,0.0,0
0.532,-0.009,0
0.582,-0.02,0
0.633,-0.03,-244
0.684,-0.039,-233
0.735,-0.047,-555
0.786,-0.06,-960
0.837,-0.07,-2501
0.888,-0.079,-3789
0.938,-0.09,-4840
0.989,-0.099,-5823
1.04,-0.109,-6786
1.091,-0.12,-7724
1.142,-0.13,-8651
1.193,-0.14,-9575
1.244,-0.149,-10496
1.295,-0.16,-11415
1.345,-0.17,-12343
1.396,-0.18,-13259
1.447,-0.189,-14180
1.498,-0.2,-15069
1.549,-0.21,-15932
1.6,-0.219,-16675
1.651,-0.23,-17250
1.702,-0.24,-17663
1.752,-0.249,-17905
1.803,-0.26,-18000
1.854,-0.27,-17944
1.905,-0.279,-17757
1.956,-0.29,-17450
2.007,-0.299,-17037
2.058,-0.309,-16521
2.109,-0.32,-15905
2.159,-0.33,-15185
2.21,-0.34,-14386
2.261,-0.35,-13498
2.313,-0.349,-12543
2.364,-0.349,-11564
2.415,-0.339,-10588
2.466,-0.068,-8964
2.517,-0.026,-6304
2.569,0.002,-8
2.62,0.0,-38
2.671,0.0,-52
2.723,0.0,-48
0.021,0.0,0
0.072,0.0,0
0.123,0.0,0
0.174,0.0,0
0.225,0.0,0
0.276,0.0,0
0.327,0.0,0
0.378,0.0,0
0.429,0.0,0
0.48,0.0,0
0.532,-0.009,0
0.583,-0.019,0
0.633,-0.03,-254
0.684,-0.039,-238
0.735,-0.049,-556
0.786,-0.059,-958
0.837,-0.07,-2541
0.888,-0.079,-3749
0.939,-0.09,-4822
0.99,-0.099,-5788
1.041,-0.109,-6765
1.092,-0.12,-7698
1.142,-0.13,-8626
1.193,-0.14,-9566
1.244,-0.149,-10511
1.295,-0.159,-11461
1.346,-0.169,-12417
1.397,-0.18,-13358
1.448,-0.189,-14295
1.499,-0.199,-15220
1.549,-0.209,-16128
1.6,-0.22,-16959
1.651,-0.23,-17646
1.702,-0.24,-18117
1.753,-0.249,-18377
1.804,-0.26,-18430
1.855,-0.269,-18271
1.906,-0.279,-17922
1.957,-0.289,-17405
2.008,-0.299,-16760
2.059,-0.299,-15999
2.109,-0.299,-15180
2.16,-0.299,-14395
2.211,-0.299,-13674
2.262,-0.299,-13041
2.313,-0.299,-12504
2.364,-0.299,-12043
2.415,-0.299,-11655
2.466,-0.299,-11319
2.517,-0.299,-11028
2.568,-0.299,-10768
2.619,-0.299,-10523
2.67,-0.3,-10300
2.721,-0.299,-10092
2.772,-0.3,-9895
2.823,-0.299,-9717
2.874,-0.299,-9541
2.925,-0.299,-9384
2.977,-0.299,-9231
3.028,-0.299,-9103
3.079,-0.299,-8985
3.13,-0.299,-8867
3.182,-0.299,-8743
3.233,-0.299,-8598
3.284,-0.299,-8445
3.336,-0.3,-8273
3.388,-0.297,-8080
3.44,-0.107,-7814
3.491,-0.038,-6090
3.543,-0.001,-1213
3.595,0.001,2
3.647,0.0,16
3.698,0.0,16
3.75,0.0,-2
3.802,0.0,-3
3.853,0.0,-3
3.905,0.0,0
3.957,-0.045,9
4.009,-0.048,0
4.06,-0.052,-276
4.112,-0.055,-634
4.164,-0.054,-1091
4.216,-0.299,-3695
4.268,-0.3,-6114
4.319,-0.299,-7109
4.371,-0.065,-6893
4.423,-0.022,-5020
4.475,0.001,-214
4.526,0.001,109
4.578,0.0,-19
4.63,0.0,-28
4.682,0.0,-14
4.734,0.0,-3
4.785,0.0,-4
4.837,0.0,-6
4.889,-0.059,60
4.941,-0.061,-2856
4.993,-0.02,-3056
5.045,0.001,6
5.097,-0.001,-5
5.148,0.0,-33
5.2,0.0,-36
5.252,0.0,-15
5.304,0.0,-1
5.356,0.0,-3
5.407,0.0,-4
5.51,-0.051,-1654
5.562,-0.009,-1864
5.614,0.001,54
5.665,0.0,9
5.717,0.0,-2
5.769,0.0,-3
5.821,0.0,0
5.873,0.0,-3
5.924,0.0,-17
5.976,0.0,-35
6.028,-0.299,-1698
6.08,-0.045,-3942
6.131,-0.011,-3027
6.183,0.003,86
6.235,0.0,33
6.287,0.0,44
6.339,0.0,38
6.39,0.0,29
6.442,0.0,-1
6.494,0.0,-3
6.546,0.0,-3
6.597,-0.049,-17
6.7,-0.055,-277
